Date,AAPL,AMZN,BRK-B,GOOGL,META,MSFT,NVDA,V,^GSPC,^RUA
2019-01-02,37.89333724975586,76.95649719238281,202.8000030517578,52.73400115966797,135.67999267578125,96.02326965332031,33.79048156738281,128.4635467529297,2510.030029296875,1473.6600341796875
2019-01-03,34.11887741088867,75.01399993896484,191.66000366210938,51.27349853515625,131.74000549316406,92.49077606201172,31.748952865600586,123.83414459228516,2447.889892578125,1438.760009765625
2019-01-04,35.57539367675781,78.76950073242188,195.1999969482422,53.903499603271484,137.9499969482422,96.79244232177734,33.78303527832031,129.16908264160156,2531.93994140625,1488.530029296875
2019-01-07,35.49620056152344,81.47550201416016,196.91000366210938,53.79600143432617,138.0500030517578,96.91587829589844,35.571529388427734,131.49827575683594,2549.68994140625,1501.3299560546875
2019-01-08,36.17287063598633,82.8290023803711,196.30999755859375,54.26850128173828,142.52999877929688,97.61859130859375,34.68595886230469,132.21348571777344,2574.409912109375,1517.1400146484375
2019-01-09,36.787147521972656,82.97100067138672,196.3699951171875,54.08250045776367,144.22999572753906,99.01448822021484,35.368125915527344,133.76947021484375,2584.9599609375,1524.6199951171875
2019-01-10,36.90473175048828,82.81099700927734,196.5800018310547,53.94150161743164,144.1999969482422,98.3782730102539,36.02547836303711,134.02076721191406,2596.639892578125,1531.8299560546875
2019-01-11,36.54240036010742,82.02799987792969,196.2899932861328,53.2234992980957,143.8000030517578,97.61859130859375,36.91849136352539,133.43121337890625,2596.260009765625,1531.8800048828125
2019-01-14,35.9929084777832,80.8604965209961,195.77999877929688,52.57550048828125,145.38999938964844,96.9063720703125,37.3178596496582,132.50338745117188,2582.610107421875,1523.010009765625
2019-01-15,36.72956466674805,83.72799682617188,196.94000244140625,54.32550048828125,148.9499969482422,99.71720123291016,37.17647171020508,132.7353515625,2610.300048828125,1538.77001953125
2019-01-16,37.17827606201172,84.18900299072266,198.41000366210938,54.47549819946289,147.5399932861328,100.06855010986328,36.92097854614258,132.7353515625,2616.10009765625,
2019-01-17,37.39903259277344,84.66100311279297,198.77999877929688,54.95600128173828,148.3000030517578,100.77124786376953,37.635379791259766,132.67738342285156,2635.9599609375,1555.3499755859375
2019-01-18,37.629390716552734,84.80999755859375,204.47999572753906,55.3650016784668,150.0399932861328,102.28111267089844,38.92776107788086,133.8564453125,2670.7099609375,1575.3599853515625
2019-01-22,36.78475570678711,81.6084976196289,200.72000122070312,53.93149948120117,147.57000732421875,100.35343170166016,36.903602600097656,133.4215545654297,2632.89990234375,1552.6700439453125
2019-01-23,36.93352127075195,82.0009994506836,201.14999389648438,54.22050094604492,144.3000030517578,101.3315200805664,37.032596588134766,132.41644287109375,2638.699951171875,1555.0999755859375
2019-01-24,36.64078140258789,82.74649810791016,201.02000427246094,54.20000076293945,145.8300018310547,100.84720611572266,39.153507232666016,133.08328247070312,2642.330078125,1558.8800048828125
2019-01-25,37.85494613647461,83.52850341796875,202.75,55.07550048828125,149.00999450683594,101.76832580566406,39.726505279541016,134.02076721191406,2664.760009765625,1573.31005859375
2019-01-28,37.504615783691406,81.89450073242188,200.9499969482422,53.99300003051758,147.47000122070312,99.78366088867188,34.234500885009766,131.43064880371094,2643.85009765625,
2019-01-29,37.11589431762695,79.69400024414062,202.0500030517578,53.50299835205078,144.19000244140625,97.75152587890625,32.64445114135742,130.4738311767578,2640.0,1559.72998046875
2019-01-30,39.652191162109375,83.52149963378906,205.9600067138672,54.89950180053711,150.4199981689453,101.01813507080078,34.0806999206543,132.98666381835938,2681.050048828125,1583.0400390625
2019-01-31,39.937740325927734,85.9365005493164,205.5399932861328,56.294498443603516,166.69000244140625,99.16641998291016,35.65835952758789,130.4834747314453,2704.10009765625,1596.5400390625
2019-02-01,39.95692443847656,81.3115005493164,209.19000244140625,55.930999755859375,165.7100067138672,97.59959411621094,35.901451110839844,135.451171875,2706.530029296875,1599.0699462890625
2019-02-04,41.09189987182617,81.66549682617188,208.52000427246094,57.07099914550781,169.25,100.41040802001953,37.005306243896484,136.75587463378906,2724.8701171875,1610.510009765625
2019-02-05,41.79496765136719,82.94049835205078,207.82000732421875,57.59349822998047,171.16000366210938,101.8158187866211,37.19631576538086,137.75132751464844,2737.699951171875,1617.800048828125
2019-02-06,41.809349060058594,82.01300048828125,206.00999450683594,56.144500732421875,170.49000549316406,100.68577575683594,37.95289611816406,136.74623107910156,2731.610107421875,1614.280029296875
2019-02-07,41.017513275146484,80.71849822998047,201.72999572753906,55.295501708984375,166.3800048828125,99.9640884399414,36.568729400634766,135.47048950195312,2706.050048828125,1599.969970703125
2019-02-08,41.06571960449219,79.41100311279297,200.9199981689453,55.11899948120117,167.3300018310547,100.34391021728516,36.75477981567383,135.67343139648438,2707.8798828125,1601.1400146484375
2019-02-11,40.82954406738281,79.55000305175781,203.0500030517578,55.10599899291992,165.7899932861328,99.9450912475586,36.3281135559082,136.0793914794922,2709.800048828125,1603.699951171875
2019-02-12,41.1813850402832,81.90049743652344,206.14999389648438,56.37900161743164,165.0399932861328,101.50244140625,37.49894332885742,137.22950744628906,2744.72998046875,1624.199951171875
2019-02-13,41.01028823852539,82.0,205.8000030517578,56.43149948120117,164.07000732421875,101.42646789550781,37.923133850097656,138.6791229248047,2753.030029296875,1629.010009765625
2019-02-14,41.15970230102539,81.13249969482422,202.77999877929688,56.459999084472656,163.9499969482422,101.51194763183594,38.33241653442383,138.60169982910156,2745.72998046875,1625.47998046875
