accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,ticker,cik
0001181431-05-067468,2005-12-19,2005-12-14,2005-12-16T20:09:40.000Z,34,8-K,000-10030,051271072,1.01,13194,0,0,rrd100228.htm,PERFORMANCE BONUS PLAN,AAPL,0000320193
0001104659-05-058421,2005-12-01,2005-09-24,2005-11-30T21:22:48.000Z,34,10-K,000-10030,051235812,,3185770,0,0,a05-20674_110k.htm,ANNUAL REPORT PURSUANT TO SECTION 13 AND 15(D),AAPL,0000320193
0001181431-05-056604,2005-10-14,2005-10-14,2005-10-14T16:49:24.000Z,34,8-K,000-10030,051139329,5.02,18160,0,0,rrd94436.htm,,AAPL,0000320193
0001104659-05-048094,2005-10-11,2005-10-11,2005-10-11T16:28:09.000Z,34,8-K,000-10030,051133003,"2.02,9.01",489755,0,0,a05-17462_18k.htm,8-K,AAPL,0000320193
0001181431-05-049163,2005-08-26,2005-08-22,2005-08-26T16:59:43.000Z,34,8-K,000-10030,051052605,1.01,11677,0,0,rrd90647.htm,,AAPL,0000320193
0001181431-05-046871,2005-08-15,2005-08-09,2005-08-15T17:00:19.000Z,34,8-K,000-10030,051027612,1.01,17408,0,0,rrd89343.htm,NET SHARE SETTLEMENT,AAPL,0000320193
0001104659-05-035792,2005-08-03,2005-06-25,2005-08-02T20:15:08.000Z,34,10-Q,000-10030,05993572,,1460540,0,0,a05-12535_110q.htm,10-Q,AAPL,0000320193
0001104659-05-032297,2005-07-13,2005-07-13,2005-07-13T16:28:45.000Z,34,8-K,000-10030,05952604,"2.02,9.01",452880,0,0,a05-12150_18k.htm,8-K,AAPL,0000320193
0001181431-05-033177,2005-06-06,2005-06-06,2005-06-06T13:25:04.000Z,34,8-K,000-10030,05879999,8.01,20081,0,0,rrd81625.htm,,AAPL,0000320193
0001104659-05-020421,2005-05-04,2005-03-26,2005-05-04T17:14:56.000Z,34,10-Q,000-10030,05800158,,1710743,0,0,a05-7551_110q.htm,10-Q,AAPL,0000320193
0001181431-05-023450,2005-04-26,2005-04-21,2005-04-25T18:48:38.000Z,34,8-K,000-10030,05771263,1.01,16893,0,0,rrd76564.htm,PERFORMANCE BONUS PLAN,AAPL,0000320193
0001104659-05-016307,2005-04-13,2005-04-13,2005-04-13T16:28:53.000Z,34,8-K,000-10030,05748601,"2.02,9.01",461178,0,0,a05-6665_18k.htm,8-K,AAPL,0000320193
0001181431-05-013840,2005-03-02,2005-02-25,2005-03-02T17:04:51.000Z,34,8-K,000-10030,05655071,"3.03,5.03",12036,0,0,rrd71045.htm,,AAPL,0000320193
0001104659-05-005507,2005-02-11,2005-02-11,2005-02-11T09:00:56.000Z,34,8-K,000-10030,05595117,8.01,19013,0,0,a05-3350_18k.htm,8-K,AAPL,0000320193
0001104659-05-003520,2005-02-01,2004-12-25,2005-02-01T17:25:52.000Z,34,10-Q,000-10030,05566739,,1123271,0,0,a05-2329_110q.htm,10-Q,AAPL,0000320193
0001104659-05-001183,2005-01-12,2005-01-12,2005-01-12T16:26:42.000Z,34,8-K,000-10030,05526102,"2.02,9.01",265195,0,0,a05-1308_28k.htm,8-K,AAPL,0000320193
0001104659-05-001049,2005-01-11,2005-01-11,2005-01-11T13:39:42.000Z,34,8-K,000-10030,05522973,2.02,20333,0,0,a05-1308_18k.htm,8-K,AAPL,0000320193
0001047469-04-035975,2004-12-03,2004-09-25,2004-12-02T18:05:49.000Z,34,10-K,000-10030,041181605,,966203,0,0,a2147337z10-k.htm,10-K,AAPL,0000320193
0001104659-04-030400,2004-10-13,2004-10-13,2004-10-13T16:31:13.000Z,34,8-K,000-10030,041077241,"2.02,9.01",514532,0,0,a04-11506_18k.htm,8-K,AAPL,0000320193
0001104659-04-022384,2004-08-05,2004-06-26,2004-08-04T20:48:51.000Z,,10-Q,000-10030,04952973,,1647164,0,0,a04-8198_110q.htm,10-Q,AAPL,0000320193
0001104659-04-019574,2004-07-14,2004-07-14,2004-07-14T16:29:34.000Z,,8-K,000-10030,04914106,"12,7",464337,0,0,a04-7804_18k.htm,8-K,AAPL,0000320193
0001104659-04-013021,2004-05-06,2004-03-27,2004-05-06T17:26:09.000Z,,10-Q,000-10030,04786157,,1454365,0,0,a04-5089_110q.htm,10-Q,AAPL,0000320193
0001104659-04-010122,2004-04-14,2004-04-14,2004-04-14T16:27:33.000Z,,8-K,000-10030,04733374,"12,7",452580,0,0,a04-4433_18k.htm,8-K,AAPL,0000320193
0001104659-04-003080,2004-02-10,2003-12-27,2004-02-09T19:57:13.000Z,,10-Q,000-10030,04579360,,1076939,0,0,a04-1622_110q.htm,10-Q,AAPL,0000320193
0001104659-04-000896,2004-01-14,2004-01-14,2004-01-14T16:30:52.000Z,,8-K,000-10030,04525208,"12,7",323011,0,0,a04-1254_38k.htm,8-K,AAPL,0000320193
0001047469-03-041604,2003-12-19,2003-09-27,2003-12-19T17:25:45.000Z,,10-K,000-10030,031066037,,2030692,0,0,a2124888z10-k.htm,10-K,AAPL,0000320193
0001104659-03-022879,2003-10-15,2003-10-15,2003-10-15T16:29:50.000Z,,8-K,000-10030,03942080,"12,7",491697,0,0,a03-4069_18k.htm,8-K,AAPL,0000320193
0001104659-03-017766,2003-08-12,2003-06-28,2003-08-12T16:09:14.000Z,,10-Q,000-10030,03837724,,1654089,0,0,a03-2128_110q.htm,10-Q,AAPL,0000320193
0001104659-03-014913,2003-07-16,2003-07-16,2003-07-16T16:04:06.000Z,,8-K,000-10030,03789493,"7,9",295857,0,0,a03-1126_18k.htm,8-K,AAPL,0000320193
0001104659-03-009489,2003-05-13,2003-03-29,2003-05-13T16:46:50.000Z,,10-Q,000-10030,03696075,,1663952,0,0,j0567_10q.htm,10-Q,AAPL,0000320193
0001047469-03-013617,2003-04-16,2003-04-16,2003-04-16T16:21:56.000Z,,8-K,000-10030,03652784,"7,9",93055,0,0,a2108651z8-k.htm,8-K,AAPL,0000320193
0001104659-03-004649,2003-03-21,2003-03-19,2003-03-20T19:36:01.000Z,,8-K,000-10030,03611221,"5,7",47973,0,0,j8673_8k.htm,8-K,AAPL,0000320193
0001047469-03-004566,2003-02-10,2002-12-28,2003-02-10T16:43:14.000Z,,10-Q,000-10030,03547782,,392967,0,0,a2102387z10-q.htm,10-Q,AAPL,0000320193
0001047469-02-007674,2002-12-19,2002-09-28,2002-12-19T17:20:21.000Z,,10-K,000-10030,02863602,,895268,0,0,a2096490z10-k.htm,10-K,AAPL,0000320193
0000912057-02-031595,2002-08-13,2002-08-08,2002-08-13T16:47:30.000Z,,8-K,000-10030,02730272,"5,7",20936,0,0,a2086495z8-k.htm,8-K,AAPL,0000320193
0000912057-02-030796,2002-08-09,2002-06-29,2002-08-09T16:52:48.000Z,,10-Q,000-10030,02725204,,488955,0,0,a2086025z10-q.htm,10-Q,AAPL,0000320193
0000912057-02-029692,2002-08-05,2002-08-01,2002-08-02T18:59:57.000Z,,8-K,000-10030,02718945,"5,7",72667,0,0,a2085918z8-k.htm,8-K,AAPL,0000320193
0000912057-02-020280,2002-05-14,2002-03-30,2002-05-14T17:08:24.000Z,,10-Q,000-10030,02647345,,343264,0,0,a2079853z10-q.htm,10-Q,AAPL,0000320193
