Date,AAPL,AMZN,KO
2019-01-03,-0.09960706147249998,-0.025241497784936007,-0.006179368343082525
2019-01-04,0.04268944866496649,0.05006399867375011,0.01994018039986334
2019-01-07,-0.0022260266821215735,0.03435341415874271,-0.013033654288411856
2019-01-08,0.019063199767831662,0.01661235994563981,0.011288865422095729
2019-01-09,0.01698168350799545,0.0017143547179709895,-0.019166053164138552
2019-01-10,0.0031961729187230947,-0.0019284287379283116,0.010736606267699678
2019-01-11,-0.009818109632202532,-0.009455231305329326,0.005735876291639741
2019-01-14,-0.01503702568497256,-0.014232985793521946,-0.00401325153665455
2019-01-15,0.020466872817934023,0.035462313843586335,0.008907717974300455
2019-01-16,0.012216421721084059,0.005505997778829874,-0.013664018834170677
2019-01-17,0.005937861240727926,0.005606434395265758,0.0029835136874560853
2019-01-18,0.006159410841443114,0.0017598946424279838,0.011687120300795328
2019-01-22,-0.022446183243744255,-0.03774908655967102,0.0023108090754153654
2019-01-23,0.004044179101757139,0.004809570602366753,0.011525476233332776
2019-01-24,-0.007926223264262622,0.009091336230296898,-0.012015831006928934
2019-01-25,0.03313695119670146,0.009450615167288179,-0.006709946112065435
2019-01-28,-0.009254549732612527,-0.019562216712664893,-0.004222057603331164
2019-01-29,-0.010364709037275377,-0.02686994204251958,0.004875855096073911
2019-01-30,0.06833475596262328,0.04802744720961405,0.009704578172995859
2019-01-31,0.007201191897563852,0.02891472167185971,0.005641565397983106
2019-02-01,0.00048076790080608944,-0.05381880772938674,0.011843045990428402
2019-02-04,0.028404877868788425,0.004353581897566405,0.011293637457924888
2019-02-05,0.017109475294652343,0.015612487224473615,0.00020292421186174359
2019-02-06,0.000344644245739989,-0.011182689786027766,0.0
2019-02-07,-0.018939608624126802,-0.015784110453143985,0.0032479997932857163
2019-02-08,0.0011750160983057256,-0.016198209157239574,0.0016187866285222174
2019-02-11,-0.005750738080500861,0.0017503863887402549,0.0022223118764628236
2019-02-12,0.008617357151594618,0.029547382710171766,0.0010077008160165324
2019-02-13,-0.004154980379619033,0.001214920135908626,0.002617914881175576
2019-02-14,0.003643461203608256,-0.010579272014338836,-0.08435434585146928
