EV,P/B,EV/T12M EBITDA,P/S,P/E,Log CAP,xs_return,date
-0.6316741547984221,-0.3368909948745063,-0.4762765957825839,-0.7225276553180909,-0.2259140496920379,-2.8682520397154607,0.0347611929999999,2008-02-01
-0.3570684166389385,-0.0650232609378661,-0.0557834162967918,0.5703049864445114,-0.056345099920046,0.2469584373606665,0.229209828,2008-02-01
6.131448131609967,-0.0316654539310121,-0.2221940154041964,-0.3652755326717118,-0.1235140265882422,1.2703977740291283,-0.0460857749999999,2008-02-01
-0.6316741547984221,-0.3368909948745063,-0.4762765957825839,-0.7225276553180909,-0.2259140496920379,-2.8682520397154607,0.0347611929999999,2008-02-01
-0.3007852022007703,-0.1891429045912588,0.2222784004752522,-0.3467331284850267,0.42234766539411,0.172285898033136,0.0066579079999999,2008-02-01
3.0754416049657323,-0.0840320690732747,-0.1318752581643376,-0.5740532731060488,-0.0862525018720977,1.0076737392066084,0.1260191889999999,2008-02-01
-0.6316741547984221,-0.3368909948745063,-0.4762765957825839,-0.3745467347650543,-0.0903315724416847,0.215826581087076,0.0620395559999999,2008-02-01
-0.530283071835595,-0.1920994732277044,0.193302335907171,1.2722404009110182,0.1009814341407572,-0.263159172675283,0.0048077869999999,2008-02-01
-0.4949904998458925,-0.197538595420296,-0.3083705089080119,-0.4530951699931982,-0.0840234541655617,-0.1461494017002336,-0.003523326,2008-02-01
-0.6316741547984221,-0.3368909948745063,-0.4762765957825839,-0.7225276553180909,-0.2259140496920379,-2.8682520397154607,0.0347611929999999,2008-02-01
1.9601326045629424,-0.1721828057012133,-0.255700062759068,-0.4204162098449443,-0.0945528857442958,0.8161546306489765,-0.068455882,2008-02-01
-0.5973198569258626,0.4725339425837113,-0.4762765957825839,2.868860332256934,-0.2259140496920379,-0.3618936034537056,-0.076685891,2008-02-01
-0.0664907204047759,-0.2088426499623585,-0.29731260332803,-0.6343566313283437,-0.1644816683666545,0.430048199939773,-0.0988598639999999,2008-02-01
-0.6316741547984221,-0.3368909948745063,-0.4762765957825839,-0.7225276553180909,-0.2259140496920379,-2.8682520397154607,0.0347611929999999,2008-02-01
0.5798704547003285,-0.0626290830746574,-0.0893329831369513,-0.3698976188465269,-0.0791403652208935,0.68166899056804,0.020268439,2008-02-01
0.663039730397686,0.1696061696565852,0.987461728708929,-0.2984850359584484,-0.072823573607391,0.699590712195093,0.101562812,2008-02-01
-0.022890925799483,-0.1647994182640026,-0.1358117934244742,-0.1579573983978427,-0.0655197562000994,0.4346856237841375,0.06478373,2008-02-01
0.3644967137246148,-0.0855103533914975,-0.1736500077239183,-0.4850713568049306,-0.1017612964404127,0.6424400019233233,-0.0811731639999999,2008-02-01
-0.6316741547984221,-0.3368909948745063,-0.4762765957825839,-0.6577103298958306,-0.0400695823273817,-0.1831336314515821,0.320788076,2008-02-01
-0.6316741547984221,-0.3368909948745063,-0.4762765957825839,-0.7225276553180909,-0.2259140496920379,-2.8682520397154607,0.0347611929999999,2008-02-01
-0.6316741547984221,-0.3368909948745063,-0.4762765957825839,-0.7225276553180909,-0.2259140496920379,-2.8682520397154607,0.0347611929999999,2008-02-01
-0.5145399167583649,-0.2501623034874668,-0.1911725350275819,-0.6706305473903428,-0.0447792045244596,-0.1613220738688099,-0.011565743,2008-02-01
-0.4357883362482478,0.0620127805824552,-0.0232585355193211,0.8890667540444772,-0.0375942118392674,0.1523423401289028,-0.07916501,2008-02-01
-0.276771620871043,-0.2162822764768928,0.0087718056526047,-0.1104120792077858,-0.0544768630484979,0.3004497008674892,-0.02652913,2008-02-01
-0.4184956589942968,0.180958429122068,-0.1772423434185958,-0.51507437232566,-0.0820381272393902,0.157810002954163,0.179554346,2008-02-01
0.2859105662041731,-0.0972241497826326,-0.1326071767805439,-0.5143986287328508,-0.0803806524661645,0.543653835620058,0.1870536589999999,2008-02-01
-0.3435045203661001,-0.2198333725021889,-0.4762765957825839,-0.7225276553180909,-0.2259140496920379,0.213988608377196,-0.043563528,2008-02-01
3.801845704132602,-0.1757821066499297,-0.19892295972568,-0.1895551687976019,-0.0834180552164714,1.0471528760050202,-0.03158027,2008-02-01
-0.3286420842660662,0.0985521125350495,-0.1081017502465877,-0.586892401369424,-0.073722131359909,0.2392935398299412,0.0156885199999999,2008-02-01
-0.2479883761289945,0.0798486022479696,0.1186703749551934,0.5302469062627808,0.0193965534140651,0.3752850759158763,-0.042956198,2008-02-01
-0.6316741547984221,-0.3368909948745063,-0.4762765957825839,-0.7225276553180909,-0.2259140496920379,-2.8682520397154607,0.0347611929999999,2008-02-01
-0.5490909334172391,-0.1451559119702267,-0.1987884449529719,-0.4629880561919252,-0.1154634348325742,-0.2230550093334463,0.13699487,2008-02-01
-0.490573863687689,-0.2296430744182218,0.0534821423106995,-0.4061445051648135,-0.0967047407481541,-0.18956827700661,-0.038918534,2008-02-01
-0.3277161810542585,-0.1936098941615407,-0.1487133426539271,-0.373492574760272,-0.1146065090994779,0.1768131768300718,-0.037376895,2008-02-01
-0.4012322835522892,0.373368380954232,-0.1830976923482463,-0.1331440936698881,-0.0989840938114912,0.1681982978340994,0.066128234,2008-02-01
-0.0321981475048431,0.2329715414925816,0.1768994462704609,0.7599186385867788,0.108334689571112,0.2901334385782709,0.1467772749999999,2008-02-01
0.059239100450273,-0.1521295575583647,-0.0991921247130925,-0.2259642335781627,-0.078861951091011,0.3819947982420878,0.0132501749999999,2008-02-01
0.8140860215089882,0.1685858321108553,-0.0254147281994964,0.3576079331718809,-0.0634858585846026,0.7593221807025301,-0.186952865,2008-02-01
